Temperature,DHI,DNI,GHI,Relative Humidity,Surface Albedo,Pressure,Wind Speed
11,0,0,0,79.76,0.08,1035,5.4
11,0,0,0,79.76,0.08,1035,5.4
11,0,0,0,79.76,0.08,1035,5.3
11.1,0,0,0,79.23,0.08,1035,5.3
11.1,0,0,0,80.25,0.08,1035,5.3
11.1,0,0,0,80.25,0.08,1035,5.3
11.1,0,0,0,80.25,0.08,1035,5.3
11.2,0,0,0,79.65,0.08,1034,5.2
11.2,0,0,0,79.65,0.08,1034,5.2
11.2,0,0,0,79.65,0.08,1034,5.2
11.3,0,0,0,80.19,0.08,1034,5.2
11.3,0,0,0,80.19,0.08,1034,5.1
11.3,0,0,0,80.19,0.08,1034,5.1
11.3,0,0,0,80.19,0.08,1034,5.1
11.4,0,0,0,79.66,0.08,1034,5.1
11.4,0,0,0,79.66,0.08,1034,5.1
11.4,0,0,0,80.63,0.08,1034,5.1
11.5,0,0,0,80.1,0.08,1034,5.1
11.5,0,0,0,80.1,0.08,1034,5.1
11.5,0,0,0,80.1,0.08,1034,5.1
11.6,0,0,0,79.58,0.08,1034,5.1
11.6,0,0,0,79.58,0.08,1034,5.1
11.6,0,0,0,80.46,0.08,1034,5.1
11.7,0,0,0,79.93,0.08,1034,5.1
11.7,0,0,0,79.93,0.08,1034,5.1
11.7,0,0,0,79.93,0.08,1034,5
11.7,0,0,0,79.93,0.08,1034,5
11.7,0,0,0,79.93,0.08,1034,5
11.8,0,0,0,80.29,0.08,1034,5
11.8,0,0,0,80.29,0.08,1034,4.9
11.8,0,0,0,80.29,0.08,1034,4.9
11.8,0,0,0,80.29,0.08,1034,4.9
11.8,0,0,0,80.29,0.08,1034,4.8
11.8,0,0,0,80.29,0.08,1034,4.8
11.8,0,0,0,80.9,0.08,1034,4.7
11.8,0,0,0,80.9,0.08,1034,4.7
11.8,0,0,0,80.9,0.08,1034,4.7
11.9,0,0,0,80.37,0.08,1034,4.7
12,0,0,0,79.84,0.08,1034,4.7
12.1,0,0,0,79.32,0.08,1034,4.8
12.2,0,0,0,80.5,0.08,1034,4.8
12.3,2,0,2,79.97,0.08,1034,4.9
12.4,3,0,3,79.45,0.08,1034,4.9
12.4,5,0,5,79.45,0.08,1034,4.9
12.4,6,0,6,79.45,0.08,1034,4.9
12.4,8,0,8,79.45,0.08,1034,4.9
12.4,10,0,10,79.45,0.08,1034,4.9
12.4,12,0,12,79.45,0.08,1034,4.9
16.5,100,46,112,79.15,0.08,1037,5.2
16.6,116,95,144,78.65,0.08,1037,5.2
16.6,131,140,175,78.65,0.08,1037,5.2
16.7,132,301,237,78.15,0.08,1037,5.3
16.8,131,394,280,77.89,0.08,1037,5.3
16.9,145,388,302,77.4,0.08,1037,5.3
17,149,431,334,76.92,0.08,1037,5.3
17,146,587,413,76.92,0.08,1037,5.3
17.1,202,271,331,76.43,0.08,1037,5.3
17.2,205,326,368,75.95,0.08,1037,5.3
17.2,229,79,270,76.37,0.08,1037,5.3
17.3,203,19,213,75.89,0.08,1037,5.3
17.4,214,22,227,75.42,0.08,1037,5.3
17.4,249,55,280,75.42,0.08,1037,5.3
17.5,253,49,282,74.94,0.08,1037,5.3
17.5,210,11,216,74.94,0.08,1037,5.3
17.5,216,12,223,75.29,0.08,1036,5.3
17.6,235,19,246,74.82,0.08,1036,5.2
17.6,225,13,234,74.82,0.08,1036,5.2
17.7,265,33,286,74.35,0.08,1036,5.2
17.7,218,10,224,74.35,0.08,1036,5.2
17.7,181,2,182,74.35,0.08,1036,5.2
17.7,256,23,272,74.62,0.08,1035,5.2
17.7,294,55,330,74.62,0.08,1035,5.2
17.8,317,111,391,74.15,0.08,1035,5.1
17.8,271,32,292,74.15,0.08,1035,5.1
17.8,182,2,183,74.15,0.08,1035,5.2
17.8,148,0,148,74.15,0.08,1035,5.2
17.8,215,9,221,74.58,0.08,1035,5.2
17.8,240,19,252,74.51,0.08,1034,5.2
